Country,Year,Carbon Intensity of Economy (g/$),Carbon Intensity of Electricity (g/kWh),Carbon Intensity of Energy (g/kWh),CO2 Emissions (kg),CO2 Emissions (Mt),CO2 Emissions per Capita (kg),Coal Energy Consumption (Mtoe),Coal Energy Consumption per Capita (MWh),Coal Energy Consumption (TWh),Electricity Generation per Capita (MWh),Electricity Generation (TWh),Electrification,Energy Consumption (Mtoe),Energy Consumption per Capita (MWh),Energy Consumption (TWh),Energy Intensity of Economy (kWh/$),Gas Energy Consumption (Mtoe),Gas Energy Consumption per Capita (MWh),Gas Energy Consumption (TWh),GDP,GDP (Millions),GDP per Capita,Hydro Electricity Generation per Capita (MWh),Hydro Electricity Generation (TWh),Nuclear Electricity Generation per Capita (MWh),Nuclear Electricity Generation (TWh),Nuclear Energy Consumption (Mtoe),Nuclear Energy Consumption per Capita (MWh),Nuclear Energy Consumption (TWh),Oil Energy Consumption (Mt),Oil Energy Consumption per Capita (MWh),Oil Energy Consumption (TWh),Population,Population (Millions),Solar Electricity Generation per Capita (MWh),Solar Electricity Generation (TWh),Wind Electricity Generation per Capita (MWh),Wind Electricity Generation (TWh)
Algeria,1965,1817.611864789684,NA,228.72370087737897,5700501382.099997,5.700501382099997,451.4550607383315,0.07,0.06447319986644443,0.8141000000000002,NA,NA,NA,2.1430000000000002,1.9738009616255772,24.923090000000006,7.946757847207638,0.6950000000000001,0.6401267701025553,8.08285,3136258896.9233,3136.2588969232997,248.37814358709,0.031149765992616433,0.3933266,0,0,0,0,0,1.289,1.187227923254955,14.99107,12626952,12.626952,0,0,0,0
Algeria,1966,2304.189902059145,NA,234.8016437357845,7004356094.200001,7.004356094200001,539.6157177814601,0.068,0.06092632763255179,0.7908400000000001,NA,NA,NA,2.5650000000000004,2.2981769173161077,29.830950000000005,9.813346556687582,0.722,0.6468942433926821,8.39686,3039834558.74906,3039.8345587490603,234.188908344417,0.02791859366221049,0.3623908,0,0,0,0,0,1.693,1.5168863629692675,19.689590000000003,12980267,12.980267,0,0,0,0
Algeria,1967,1928.63807817765,NA,230.79979424067,6501136292.2,6.5011362922,486.8234527467282,0.052000000000000005,0.04528613738437438,0.6047600000000001,NA,NA,NA,2.422,2.1092889374029755,28.167860000000005,8.35632494614156,0.7000000000000001,0.6096210801742704,8.141000000000002,3370843065.76735,3370.8430657673503,252.418252162025,0.030446218518417847,0.4065848,0,0,0,0,0,1.578,1.374260092164284,18.352140000000002,13354197,13.354197,0,0,0,0
Algeria,1968,1793.7593159443197,NA,228.60067658802552,6909768632.799998,6.909768632799998,502.73385293938526,0.055,0.0465389980651738,0.63965,NA,NA,NA,2.599,2.199179199479759,30.226370000000003,7.846692943857541,0.736,0.622776410472144,8.55968,3852115816.97758,3852.11581697758,280.268288209403,0.04051431322473676,0.5568444,0,0,0,0,0,1.6820000000000004,1.423247177193134,19.561660000000007,13744387,13.744387,0,0,0,0
Algeria,1969,1826.3390551495281,NA,230.92932814456103,7775124909.900003,7.775124909900003,549.6948630903541,0.07,0.05755619275930229,0.8141000000000002,NA,NA,NA,2.895,2.3803596862597156,33.66885,7.908649238377576,0.968,0.7959199227286372,11.25784,4257218772.15369,4257.21877215369,300.981825658516,0.02562072809114084,0.3623908,0,0,0,0,0,1.775,1.4594606021108794,20.643250000000002,14144438,14.144438,0,0,0,0
Algeria,1970,1734.6771012029212,NA,229.7799614799143,8436580385.500001,8.436580385500001,579.8323485360928,0.083,0.06634280029861099,0.9652900000000001,NA,NA,NA,3.157,2.523424343888131,36.71591,7.549296683795267,0.91,0.7273728707438073,10.583300000000001,4863487492.65763,4863.48749265763,334.259527686164,0.04009343208407623,0.5833608,0,0,0,0,0,2.032,1.6241996410455126,23.632160000000002,14550034,14.550034,0,0,0,0
Algeria,1971,1797.3591693478486,NA,229.56690708036513,9125592176.1,9.1255921761,609.995032529509,0.023,0.01788021731659843,0.26749,NA,NA,NA,3.4179999999999993,2.657155773397105,39.75133999999999,7.829347845500405,1.033,0.8030549777411381,12.01379,5077222366.97472,5077.22236697472,339.384049071749,0.021860509171423816,0.3270356,0,0,0,0,0,2.2880000000000003,1.7786929226250963,26.609440000000006,14960109,14.960109,0,0,0,0
Algeria,1972,1510.5271975939563,NA,228.29063441915523,10213862241.2,10.213862241200001,664.2258222149011,0.02,0.015126396127018289,0.23260000000000003,NA,NA,NA,3.847,2.909562295031968,44.740610000000004,6.6166849176148785,1.2,0.9075837676210973,13.956000000000001,6761786386.54713,6761.78638654713,439.731123857229,0.03247637248470826,0.4993922,0,0,0,0,0,2.514,1.9013879931661986,29.23782,15377093,15.377093,0,0,0,0
Algeria,1973,1368.6419807209372,NA,222.81367291958279,11927859842.900003,11.927859842900004,754.7163265193782,0.023,0.016925003549638114,0.26749,NA,NA,NA,4.603,3.3872083190862714,53.53289,6.142540369212006,1.67,1.228902431647637,19.4221,8715105930.49101,8715.10593049101,551.434441695138,0.04781681437632542,0.7557174,0,0,0,0,0,2.7390000000000003,2.015547161846035,31.854570000000006,15804428,15.804428,0,0,0,0
Algeria,1974,1009.7488824629596,NA,224.8390523295298,13338493588.999998,13.338493588999999,820.9762306078624,0.019,0.01360057014436965,0.22097,NA,NA,NA,5.101000000000001,3.6513951740226105,59.32463000000001,4.49098531594523,1.933,1.3836790573192914,22.480790000000002,13209713643.3219,13209.7136433219,813.049902670207,0.030737288526275407,0.4993922,0,0,0,0,0,3.0360000000000005,2.173227945174014,35.30868000000001,16247113,16.247113,0,0,0,0
