Series Name,"Country Name","Time","Value"
"Population, total","World","1960","3034193297"
"Population, total","World","1961","3075115342"
"Population, total","World","1962","3127961482"
"Population, total","World","1963","3192794384"
"Population, total","World","1964","3258201476"
"Population, total","World","1965","3324951621"
"Population, total","World","1966","3394864530"
"Population, total","World","1967","3464439525"
"Population, total","World","1968","3534821115"
"Population, total","World","1969","3609383725"
"Population, total","World","1970","3684765870"
"Population, total","World","1971","3762198347"
"Population, total","World","1972","3838924951"
"Population, total","World","1973","3914857611"
"Population, total","World","1974","3991430917"
"Population, total","World","1975","4066267984"
"Population, total","World","1976","4139151082"
"Population, total","World","1977","4211781677"
"Population, total","World","1978","4285609387"
"Population, total","World","1979","4361295248"
"Population, total","World","1980","4437690434"
"Population, total","World","1981","4515764583"
"Population, total","World","1982","4596813158"
"Population, total","World","1983","4678525765"
"Population, total","World","1984","4759982360"
"Population, total","World","1985","4843067309"
"Population, total","World","1986","4928822143"
"Population, total","World","1987","5016798785"
"Population, total","World","1988","5105701987"
"Population, total","World","1989","5194731380"
"Population, total","World","1990","5284886348"
"Population, total","World","1991","5372078249"
"Population, total","World","1992","5456141249"
"Population, total","World","1993","5541075501"
"Population, total","World","1994","5624840414"
"Population, total","World","1995","5709757338"
"Population, total","World","1996","5792568347"
"Population, total","World","1997","5875398158"
"Population, total","World","1998","5957237460"
"Population, total","World","1999","6038067278"
"Population, total","World","2000","6118075293"
"Population, total","World","2001","6197638117"
"Population, total","World","2002","6276824417.88287"
"Population, total","World","2003","6356259573.89893"
"Population, total","World","2004","6436346997.99137"
"Population, total","World","2005","6517020798.24397"
"Population, total","World","2006","6598421257.48499"
"Population, total","World","2007","6680423046.99093"
"Population, total","World","2008","6763745673.29553"
"Population, total","World","2009","6847214549.1102"
"Population, total","World","2010","6930656699.36223"
"Population, total","World","2011","7012843635.35782"
"Population, total","World","2012","7097400665.07723"
"Population, total","World","2013","7182860114.61008"
"Population, total","World","2014","7268986175.73916"
"Population, total","World","2015","7355220411.68203"
"Population, total","World","2016","7442135578"
,"","",""
,"","",""
,"","",""
Data from database: World Development Indicators,"","",""
Last Updated: 06/30/2017,"","",""
