Year,CO2 Emissions (Gt),Energy Consumption (PWh),Electricity Generation (PWh),Population (Billions),GWP,CO2 Emissions (kg),Population,GWP per Capita,Carbon Intensity of Economy (kg/$),Energy Intensity of Economy (kWh/$),Carbon Intensity of Energy (kg/kWh),Carbon Intensity of Energy (g/kWh)
1965,11.357797828398386,43.38860093216976,0,3.324951621,1961944483712.14,11357797828398.387,3324951621,590.0670768623313,5.7890515876925415,22.11510126426993,0.26176916481253343,261.7691648125334
1966,11.884428601765347,45.74628296649211,0,3.39486453,2128619422408.42,11884428601765.346,3394864530,627.0115946006305,5.583162718828688,21.4910577649116,0.2597900382522961,259.7900382522961
1967,12.247585389209856,47.46232000040115,0,3.464439525,2264793675472.3,12247585389209.855,3464439525,653.7258506402417,5.4078150790737025,20.956575653852163,0.2580486033785609,258.04860337856087
1968,12.914289663388361,50.331493280208676,0,3.534821115,2443345941026.71,12914289663388.361,3534821115,691.2219491556109,5.2854937348583935,20.599413466215534,0.25658467138042396,256.58467138042397
1969,13.723619059930826,53.791071309562035,0,3.609383725,2690870797695.49,13723619059930.826,3609383725,745.5208430894918,5.100066146499482,19.99020962122361,0.25512819740943293,255.12819740943294
1970,14.481992342807123,57.12265525761812,0,3.68476587,2956885263956.69,14481992342807.123,3684765870,802.4621830197016,4.897718731036716,19.318522755658336,0.25352449527240317,253.52449527240316
1971,14.978385556010581,59.471338655900965,0,3.762198347,3265917075455.06,14978385556010.58,3762198347,868.087425018227,4.586272464962556,18.209690350945134,0.25185889362058894,251.85889362058893
1972,15.685482766815603,62.63320575813818,0,3.838924951,3766131377379.81,15685482766815.604,3838924951,981.0380315975627,4.164879340382538,16.63064813254434,0.25043397630621084,250.43397630621084
1973,16.53797066998002,66.19707587612778,0,3.914857611,4589203445245.55,16537970669980.02,3914857611,1172.2529658168837,3.6036691045182327,14.424524139305365,0.24982932329106095,249.82932329106094
1974,16.445592573659127,66.49032133951118,0,3.991430917,5292853388124.73,16445592573659.127,3991430917,1326.054113972463,3.1071317052834213,12.562282848924491,0.24733814248971758,247.33814248971757
1975,16.45958557075764,66.77387217162088,0,4.066267984,5893742092987.04,16459585570757.639,4066267983.9999995,1449.4229392105508,2.7927224013318956,11.329622355052669,0.24649739539521595,246.49739539521596
